accno,store_name,rep_code,rep_name,health_score,tier_code,tier_label,tier_emoji,freq_3m,freq_6m,freq_12m,freq_score,visits_6m,visits_per_month,days_since_purchase,cadence_score,n_cats_all,n_cats_12m,cats_12m,basket_score,sku_depth_score,sku_depth_detail,trend_slope_pct,trend_score
KS019,S.I.Hardware  Kgapane,NP,Nikhil Panchal,91.0,growing,Active & Growing,🟢,7.35,9.69,10.49,100.0,28,4.67,4,100.0,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,100.0,PVA Paints:11.7%; Enamel:23.0%; Primers:35.0%; Woodcare:92.0%; General:54.2%; Accessories:33.3%; QD Enamel:31.7%; Waterproofing:26.3%; Specialised Coatings:75.0%; Putty:50.0%; Floor & Roof Paints:9.5%,-1.98,40.1
KS011,Tiger build Hardware,NP,Nikhil Panchal,87.0,growing,Active & Growing,🟢,4.34,4.68,4.58,100.0,10,1.67,5,83.3,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",90.9,98.8,PVA Paints:2.6%; Enamel:22.4%; Primers:27.5%; Waterproofing:31.6%; Woodcare:76.0%; Specialised Coatings:25.0%; QD Enamel:18.3%; Accessories:33.3%; Floor & Roof Paints:4.1%; General:6.2%,-0.14,49.3
KP005,Patel (Nkomazi Imp. & Exp. CC),BV,Bhadresh Vallabh,86.0,growing,Active & Growing,🟢,4.34,5.51,6.5,100.0,23,3.83,3,100.0,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",90.9,100.0,Primers:7.5%; Waterproofing:31.6%; General:31.2%; Accessories:36.4%; QD Enamel:20.2%; PVA Paints:16.2%; Putty:62.5%; Floor & Roof Paints:14.9%; Enamel:13.1%; Woodcare:76.0%,-5.03,24.8
KM027,Chief Steel & Hardware,AC,Aboo Cassim,85.0,growing,Active & Growing,🟢,14.7,16.37,15.57,100.0,22,3.67,5,100.0,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,100.0,Enamel:32.8%; Putty:75.0%; General:52.1%; Primers:42.5%; Woodcare:84.0%; QD Enamel:26.9%; PVA Paints:30.4%; Waterproofing:36.8%; Accessories:33.3%; Floor & Roof Paints:41.9%; Specialised Coatings:33.3%,-10.18,0.0
KY007,CASH SALE,Z1,Z1,79.2,growing,Active & Growing,🟢,8.69,7.85,8.16,100.0,1,0.17,5,8.3,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,53.1,QD Enamel:6.7%; Enamel:10.4%; PVA Paints:14.6%; Primers:22.5%; Floor & Roof Paints:13.5%; Accessories:15.2%; Specialised Coatings:16.7%; Waterproofing:7.9%; Woodcare:24.0%; General:2.1%; Putty:12.5%,42.7,100.0
KS004,S.E.Z. Superette,BV,Bhadresh Vallabh,79.0,growing,Active & Growing,🟢,3.67,3.67,4.66,91.8,5,0.83,12,41.7,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",90.9,60.9,PVA Paints:12.0%; Enamel:15.8%; Floor & Roof Paints:13.5%; Waterproofing:10.5%; Woodcare:36.0%; Accessories:12.1%; QD Enamel:5.8%; Primers:5.0%; General:33.3%; Specialised Coatings:8.3%,7.82,89.1
KA008,AA Hardware 2,AP,Amit Patel,77.5,growing,Active & Growing,🟢,2.0,1.67,1.58,41.8,10,1.67,12,83.3,9,9,"Accessories, Enamel, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",81.8,100.0,PVA Paints:6.1%; Enamel:16.9%; Primers:7.5%; Woodcare:68.0%; General:25.0%; Accessories:21.2%; QD Enamel:3.8%; Putty:75.0%; Waterproofing:23.7%,16.59,100.0
KM127,Myka Trade 2  Mankweng,BV,Bhadresh Vallabh,77.4,growing,Active & Growing,🟢,4.01,4.51,3.58,100.0,5,0.83,19,41.7,11,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",94.5,93.1,PVA Paints:9.1%; Enamel:17.5%; Woodcare:56.0%; General:27.1%; Accessories:12.1%; QD Enamel:22.1%; Primers:17.5%; Floor & Roof Paints:13.5%; Putty:50.0%; Waterproofing:7.9%,-4.88,25.6
KA100,Absolute Hardware And Tools,AC,Aboo Cassim,75.5,growing,Active & Growing,🟢,4.01,4.68,5.0,100.0,0,0.0,13,0.0,8,8,"Accessories, Enamel, Floor & Roof Paints, PVA Paints, Primers, QD Enamel, Specialised Coatings, Woodcare",72.7,91.0,Enamel:9.8%; Primers:25.0%; Woodcare:76.0%; PVA Paints:1.9%; QD Enamel:23.1%; Floor & Roof Paints:6.8%; Specialised Coatings:33.3%; Accessories:6.1%,19.67,100.0
KM001,Mega Doors and Paint  Hardware,AC,Aboo Cassim,73.6,growing,Active & Growing,🟢,3.34,2.84,2.67,71.0,7,1.17,5,58.3,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Woodcare",90.9,78.2,PVA Paints:11.0%; Enamel:9.8%; Floor & Roof Paints:24.3%; Primers:20.0%; Woodcare:36.0%; Putty:37.5%; QD Enamel:12.5%; Accessories:15.2%; General:20.8%; Specialised Coatings:8.3%,0.83,54.1
